DATE	PET	P	T	Q
06/04/1990	4.916366667	6.043666667	17.94033333	4.690853333
07/04/1990	4.2428	3.5	17.471	3.738293333
08/04/1990	3.4665	0.291666667	14.90366667	3.201253333
09/04/1990	3.5245	0.179333333	15.87466667	2.804
10/04/1990	3.393766667	-0.091333333	14.25966667	2.472053333
11/04/1990	3.0053	0.119666667	10.73866667	2.258133333
12/04/1990	3.7508	12.41766667	11.55066667	2.110053333
13/04/1990	4.038533333	3.328666667	10.84366667	1.93736
14/04/1990	3.989166667	1.811333333	12.89533333	1.933586667
15/04/1990	3.410866667	13.00566667	15.15	1.935346667
16/04/1990	3.153866667	11.63733333	14.254	1.8952
17/04/1990	2.534433333	-0.134333333	15.30533333	1.8252
18/04/1990	2.326666667	0.122333333	16.37033333	1.82236
19/04/1990	2.5298	0.164333333	14.33533333	1.703826667
20/04/1990	1.302433333	0.180666667	15.21366667	1.567746667
21/04/1990	1.693966667	-0.293	15.173	1.49604
22/04/1990	2.503933333	0.327666667	15.87666667	1.4254
23/04/1990	2.519566667	6.306333333	15.33266667	1.303813333
24/04/1990	2.2792	5.836333333	15.035	1.313213333
25/04/1990	2.439133333	4.364666667	15.60233333	1.344413333
26/04/1990	1.895033333	-0.136	14.98966667	1.242253333
27/04/1990	1.918733333	0.149	13.77566667	1.274186667
28/04/1990	1.7272	0.196666667	11.98333333	1.220813333
29/04/1990	2.1495	-0.274666667	9.719333333	1.16752
30/04/1990	2.2318	0.093666667	8.164666667	1.076133333
01/05/1990	2.1643	-0.170666667	11.02566667	1.12188
02/05/1990	2.7292	0.233333333	13.25433333	1.247426667
03/05/1990	1.899333333	14.60233333	11.883	1.285773333
04/05/1990	2.249933333	12.13633333	10.12233333	1.254346667
05/05/1990	2.141666667	0.057333333	9.778333333	1.26928
06/05/1990	1.386333333	-0.237333333	5.514666667	1.369613333
07/05/1990	1.6445	4.879333333	6.506	1.201933333
08/05/1990	1.4219	21.507	5.828333333	1.185053333
09/05/1990	2.245466667	0.609666667	7.536333333	1.208173333
10/05/1990	2.479866667	-0.125333333	7.890333333	1.142653333
11/05/1990	2.0296	0.112	6.293333333	0.96308
12/05/1990	1.2274	0.002	6.501666667	0.961533333
13/05/1990	1.445333333	0.329333333	7.638	1.043426667
14/05/1990	1.5071	-0.154	6.573666667	1.006226667
15/05/1990	0.974666667	9.766	6.782666667	0.986026667
16/05/1990	1.231766667	0.332333333	5.607333333	1.052306667
17/05/1990	1.101566667	0.057	4.461	1.068053333
18/05/1990	1.0882	0.014	6.137	0.952506667
19/05/1990	1.783466667	-0.201	7.402666667	0.906426667
20/05/1990	0.8031	-0.315333333	12.588	0.9078
21/05/1990	1.585366667	-0.143666667	11.471	0.781773333
22/05/1990	1.154233333	0.161666667	10.77166667	0.658826667
23/05/1990	1.1164	0.102	11.25766667	0.60608
24/05/1990	1.0437	0.719666667	10.44233333	0.579826667
25/05/1990	1.3894	1.746666667	10.87	0.61652
26/05/1990	1.421766667	-0.044333333	10.00533333	0.605413333
27/05/1990	1.3133	1.949333333	10.72733333	0.669053333
28/05/1990	0.8824	-0.113666667	9.902333333	0.696906667
29/05/1990	0.6089	-0.207666667	11.29766667	0.694266667
30/05/1990	1.168466667	0.212333333	11.66733333	0.596813333
31/05/1990	0.7992	-0.032	9.803666667	0.61504
01/06/1990	1.0561	-0.234	10.00766667	0.611253333
02/06/1990	0.8518	-0.126333333	10.78	0.563973333
03/06/1990	0.702366667	6.12	10.353	0.51356
04/06/1990	0.5111	4.596666667	8.655333333	0.552186667
05/06/1990	0.3817	4.289666667	9.248666667	0.543293333
06/06/1990	0.6688	0.129333333	7.441333333	0.55448
07/06/1990	0.607566667	0.213333333	5.647666667	0.544413333
08/06/1990	0.7283	-0.248666667	5.543	0.598173333
09/06/1990	0.4825	-0.323666667	8.117666667	0.556626667
10/06/1990	0.7582	-0.263666667	6.636333333	0.52092
11/06/1990	0.784166667	-0.294666667	5.535666667	0.444146667
12/06/1990	0.6972	-0.185	6.82	0.49964
13/06/1990	0.8182	-0.096666667	5.795666667	0.436853333
14/06/1990	0.7749	-0.055	3.360666667	0.522426667
15/06/1990	0.763666667	0.215	3.196333333	0.544133333
16/06/1990	0.335	-0.061666667	3.568	0.52336
17/06/1990	0.4738	0.183333333	2.48	0.468373333
18/06/1990	0.3509	-0.293	2.853	0.535933333
19/06/1990	0.302166667	-0.209333333	4.302333333	0.48536
20/06/1990	0.681266667	0.102	6.092	0.505133333
21/06/1990	0.395833333	1.132	9.694333333	0.484333333
22/06/1990	0.848466667	-0.255333333	6.306333333	0.444626667
23/06/1990	0.8717	-0.298	2.095333333	0.42976
24/06/1990	0.387833333	0.039666667	1.864666667	0.418653333
25/06/1990	-0.0123	-0.016333333	2.635	0.330533333
26/06/1990	0.2072	0.026666667	6.546333333	0.396933333
27/06/1990	0.107466667	-0.275	4.943333333	0.440013333
28/06/1990	0.025	0.325333333	2.715	0.380906667
29/06/1990	0.556333333	0.071666667	0.274333333	0.396586667
30/06/1990	0.351366667	-0.329333333	0.440333333	0.427666667
01/07/1990	0.3087	0.255333333	4.453	0.31508
